User nb,method,density,targets Size,target num,timestamp,selected
1,Bubble,30,18,16,2021-04-11 17:05:51.779828, cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.230131,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.232114,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.234595,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.237075,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.239555,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.242035,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.244514,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.246518,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.249474,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.251459,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.253938,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.256420,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.258898,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.260883,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.262867,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.265346,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.267357,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.269812,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.272292,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.274293,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.276755,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.279750,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.281738,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.283699,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.286178,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.288162,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.290643,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.293122,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.295106,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.298083,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.300068,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.303042,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.305523,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.307507,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.309986,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.312467,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.314946,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.316955,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.319410,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.321891,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.323874,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.326355,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.328361,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.330322,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.332803,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.335283,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.337266,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.339747,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.342227,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.344238,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.347187,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.349195,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.351155,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.353635,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.355620,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.358099,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.360578,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.363059,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.365043,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.367523,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.370002,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.371986,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.374468,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.376946,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.378930,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.381410,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.382402,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.384386,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.386371,cible non selectionnee
1,Highlight,30,18,None,2021-04-11 17:28:26.388850,cible non selectionnee
